ID,Income
TEST_0000,15.107958020357938
TEST_0001,5.421036542021246
TEST_0002,427.67928892972
TEST_0003,620.750989675446
TEST_0004,0.0
TEST_0005,760.6829487150305
TEST_0006,427.3381860992088
TEST_0007,0.0
TEST_0008,0.0
TEST_0009,1041.730330748879
TEST_0010,912.3788115815308
TEST_0011,765.9421548128115
TEST_0012,514.4207388417557
TEST_0013,805.2567223282192
TEST_0014,0.0
TEST_0015,922.5828666650079
TEST_0016,778.0384382221198
TEST_0017,599.6978066056465
TEST_0018,609.0688880048783
TEST_0019,971.833809663859
TEST_0020,668.777747765929
TEST_0021,1356.0631953690233
TEST_0022,0.0
TEST_0023,780.3216583855076
TEST_0024,0.0
TEST_0025,628.1313215353764
TEST_0026,753.9831467635483
TEST_0027,1151.7003886684656
TEST_0028,0.0
TEST_0029,576.7906312562001
TEST_0030,0.0
TEST_0031,1025.5796896798252
TEST_0032,629.615959613308
TEST_0033,0.0
TEST_0034,1048.2597714695044
TEST_0035,0.0
TEST_0036,0.0
TEST_0037,680.3149821532006
TEST_0038,659.7785614067723
TEST_0039,0.0
TEST_0040,527.3027813416559
TEST_0041,1644.890112955451
TEST_0042,666.9888829217167
TEST_0043,1220.781442477686
TEST_0044,907.4927568872666
TEST_0045,1146.1451088613862
TEST_0046,1112.932013635145
TEST_0047,642.7941054825326
TEST_0048,460.38709658231346
TEST_0049,0.0
TEST_0050,0.0
TEST_0051,352.2607306504064
TEST_0052,590.2825684716257
TEST_0053,685.3690399994964
TEST_0054,523.7453906018227
TEST_0055,655.2445162642537
TEST_0056,871.7520132364682
TEST_0057,0.0
TEST_0058,875.9652087267452
TEST_0059,892.2225106897943
TEST_0060,522.1549923128824
TEST_0061,812.4568734383774
TEST_0062,525.7852359041196
TEST_0063,55.28568097291949
TEST_0064,652.7049919465883
TEST_0065,348.4385325818437
TEST_0066,0.0
TEST_0067,832.8865959952387
TEST_0068,871.5869080439501
TEST_0069,1040.290549783384
TEST_0070,0.0
TEST_0071,740.1614662587191
TEST_0072,971.8152826332458
TEST_0073,819.6094211484848
TEST_0074,544.1387097501857
TEST_0075,143.62641271678885
TEST_0076,1057.7246470545024
TEST_0077,527.1666647830614
TEST_0078,7.188641115075716
TEST_0079,467.2747647419743
TEST_0080,0.0
TEST_0081,503.7071479754488
TEST_0082,15.66909302400814
TEST_0083,4.377697771361558
TEST_0084,664.5885936683143
TEST_0085,1111.0174811877264
TEST_0086,1510.7107764547177
TEST_0087,618.3334323800584
TEST_0088,976.4412879419572
TEST_0089,0.0
TEST_0090,1342.7484808053591
TEST_0091,0.0
TEST_0092,694.9852016502573
TEST_0093,386.59294803738806
TEST_0094,1297.9733617677655
TEST_0095,564.9612379825315
TEST_0096,518.3981055102425
TEST_0097,607.0938632699475
TEST_0098,885.244305238507
TEST_0099,471.5464540348714
TEST_0100,1.7018745724991695
TEST_0101,407.60146916580936
TEST_0102,437.8640367801555
TEST_0103,0.0
TEST_0104,720.132582735145
TEST_0105,1.9704475016787302
TEST_0106,816.3037248456209
TEST_0107,393.98970262893283
TEST_0108,848.2829950849728
TEST_0109,514.072761120852
TEST_0110,0.0
TEST_0111,725.1281035436192
TEST_0112,0.0
TEST_0113,1115.6191824330626
TEST_0114,473.6550260426062
TEST_0115,0.0
TEST_0116,936.1358446903043
TEST_0117,522.6235137363027
TEST_0118,742.5175397570741
TEST_0119,553.561463147488
TEST_0120,1010.4237026359684
TEST_0121,765.6078749041756
TEST_0122,974.0094496286667
TEST_0123,597.9359481521271
TEST_0124,0.0
TEST_0125,858.340241533496
TEST_0126,0.0
TEST_0127,1083.6496784437134
TEST_0128,463.89870422057413
TEST_0129,1373.214985701632
TEST_0130,688.6582608884944
TEST_0131,451.65353207624537
TEST_0132,421.8326745769082
TEST_0133,654.0806724282888
TEST_0134,938.7782324913067
TEST_0135,694.1967467158631
TEST_0136,802.0753409080265
TEST_0137,869.4642430089322
TEST_0138,0.0
TEST_0139,430.38634567248255
TEST_0140,598.6953004845901
TEST_0141,546.2670407441171
TEST_0142,594.6652959788362
TEST_0143,0.0
TEST_0144,1410.9367650085164
TEST_0145,963.4812031319822
TEST_0146,4.330091835645672
TEST_0147,1007.0942353003389
TEST_0148,1139.0582782906022
TEST_0149,5.190074803129049
TEST_0150,1338.2317878734557
TEST_0151,593.6651381261747
TEST_0152,722.1143415952081
TEST_0153,524.5519114265685
TEST_0154,548.6007402908289
TEST_0155,680.7219222063561
TEST_0156,451.4788396473603
TEST_0157,0.0
TEST_0158,488.65068079224204
TEST_0159,0.0
