ID,MEDV
TEST_000,24.75395648181783
TEST_001,34.215536835586924
TEST_002,19.54610281832001
TEST_003,24.311428845945404
TEST_004,25.71161434996737
TEST_005,31.118557940966447
TEST_006,16.630393870208056
TEST_007,13.711636881640285
TEST_008,25.207687069818764
TEST_009,22.562205608834567
TEST_010,11.475407108029051
TEST_011,27.462499451688075
TEST_012,30.4078067253564
TEST_013,21.476170538182938
TEST_014,37.24176774089483
TEST_015,15.279419671565483
TEST_016,20.30390149674241
TEST_017,29.840980747843
TEST_018,20.4055655230658
TEST_019,30.962778441933644
TEST_020,19.568472090992252
TEST_021,13.632756820888332
TEST_022,25.457448447567593
TEST_023,33.44110822664135
TEST_024,19.791494827110828
TEST_025,24.752653917391957
TEST_026,20.224864734109655
TEST_027,19.21218536363535
TEST_028,24.389434344592843
TEST_029,17.812971160786702
TEST_030,3.295978583298197
TEST_031,32.169794823807656
TEST_032,37.050500163697286
TEST_033,21.205581945082805
TEST_034,25.44270025086636
TEST_035,20.501988935731855
TEST_036,16.870281367271744
TEST_037,24.59988005132766
TEST_038,20.274366730349872
TEST_039,27.27813384371027
TEST_040,18.47524141064428
TEST_041,17.98764792659739
TEST_042,13.742781379587797
TEST_043,0.7396883185147338
TEST_044,21.945711046489123
TEST_045,19.645054242365678
TEST_046,10.146569834123653
TEST_047,40.910622660683366
TEST_048,24.42675089505919
TEST_049,16.933169724580328
TEST_050,33.08250060350353
