ID,MEDV
TEST_000,24.530301008677725
TEST_001,33.81437492542114
TEST_002,19.554360780053653
TEST_003,24.079418261570723
TEST_004,25.477010746951592
TEST_005,31.1357228633984
TEST_006,16.773514010852683
TEST_007,14.005104868455309
TEST_008,25.340163781423236
TEST_009,22.581894228393004
TEST_010,11.818466559361035
TEST_011,27.41666788350429
TEST_012,30.260134401183194
TEST_013,21.47831883389174
TEST_014,37.288597070265496
TEST_015,15.427666181038255
TEST_016,20.19728218722149
TEST_017,29.761857377141617
TEST_018,20.655195039541898
TEST_019,30.70274092658916
TEST_020,19.73897806582861
TEST_021,13.742928251077501
TEST_022,25.437200536036322
TEST_023,33.1010957686706
TEST_024,19.602580952686104
TEST_025,24.744833098536333
TEST_026,20.382436425296344
TEST_027,18.997449811349412
TEST_028,24.553377994928887
TEST_029,17.77082971596041
TEST_030,3.3440997831220365
TEST_031,32.11122673743873
TEST_032,36.863517130549376
TEST_033,21.309069871363537
TEST_034,25.34816231375106
TEST_035,19.877588716802943
TEST_036,16.90833645727959
TEST_037,24.37253352884846
TEST_038,20.563200823566415
TEST_039,26.984162356908353
TEST_040,18.422965633993886
TEST_041,17.90580602881976
TEST_042,14.029632864487915
TEST_043,0.751674022039186
TEST_044,22.517799020982157
TEST_045,19.588361122892735
TEST_046,10.204511874632303
TEST_047,40.73219551769125
TEST_048,24.30649575027399
TEST_049,17.496949609596697
TEST_050,33.124488048282934
