ID,MEDV
TEST_000,22.72484966804655
TEST_001,32.27722311026714
TEST_002,19.828196700206508
TEST_003,24.575219877276414
TEST_004,26.172434386135084
TEST_005,31.21725057036441
TEST_006,16.5826341918909
TEST_007,13.589504156847863
TEST_008,25.199346170288184
TEST_009,22.586594495157154
TEST_010,11.326371937622161
TEST_011,27.655618797018487
TEST_012,30.50858304638023
TEST_013,21.599124959061268
TEST_014,37.340853519952134
TEST_015,15.397967979612707
TEST_016,20.61630782685107
TEST_017,27.643092824173916
TEST_018,20.25624257539152
TEST_019,31.270894915713114
TEST_020,19.75315920963724
TEST_021,13.676566885117175
TEST_022,25.717461224682822
TEST_023,33.88302295181476
TEST_024,20.05447307597768
TEST_025,24.899979466197486
TEST_026,20.423422622606047
TEST_027,19.49146603687875
TEST_028,24.37083380242889
TEST_029,18.053074682285942
TEST_030,3.21976816256192
TEST_031,32.2915050957758
TEST_032,37.51906998432006
TEST_033,21.186975240625305
TEST_034,25.713110266224053
TEST_035,21.335257920993627
TEST_036,14.477137006682318
TEST_037,25.073069412307937
TEST_038,18.10922378273343
TEST_039,27.561137272910933
TEST_040,18.713330748076153
TEST_041,18.168931813676192
TEST_042,13.79764638313564
TEST_043,0.6609858450830496
TEST_044,21.558298032456666
TEST_045,19.9220703728524
TEST_046,10.132829229701327
TEST_047,41.55930340584282
TEST_048,24.65751905927131
TEST_049,16.517248642551856
TEST_050,33.18494971103426
