id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0014351905932002327,0.013726175029669782,0.049849995895022654,0.13295883442573267
0.csv_Day7_7h00m,0.0,0.0,0.0144683003933334,0.0845881079041096,0.1557478213254061,0.22303278470290266,0.3156489205876783,0.4874310899860346,0.7811643995996236
0.csv_Day7_7h30m,0.9772945397150794,1.3560861859555973,1.539997313019518,1.7725749602061482,1.9607917443629703,2.1530184824719107,2.3450917006547236,2.643652952916078,3.2252029795727273
0.csv_Day7_8h00m,6.0327565514616435,6.580793556508572,6.913453952785164,7.235349898461305,7.473982983353748,7.767673817237664,7.978143952749056,8.36402687811088,8.986745516744458
0.csv_Day7_8h30m,10.749116086893068,12.060566222988978,12.587027855967529,12.926776028516537,13.257934345932751,13.562250534035577,13.835757202408121,14.226789500233647,14.909309463950253
0.csv_Day7_9h00m,15.583949198369455,17.56686741589862,18.220199316749646,18.69103679367544,19.04202592270991,19.41052144398956,19.81098582291875,20.247123279993414,21.08194840839484
0.csv_Day7_9h30m,19.925047516823184,22.506292144649997,23.422535738845827,23.969139064035016,24.370605364367776,24.766546483191327,25.293186276389733,25.92001695933111,26.85461986498
0.csv_Day7_10h00m,24.833650016503537,27.05272487154307,28.24023776586046,28.633047606022956,29.140873516368423,29.7070831029156,30.28145981036153,31.044278718026725,31.93481841623118
0.csv_Day7_10h30m,28.78719624705513,31.25869157865232,32.33718882111239,33.02187697405955,33.524937458171166,34.00204274034791,34.62478018882143,35.0937916170194,36.062295911755264
0.csv_Day7_11h00m,32.00498027623824,34.21342779074877,35.35364925274169,35.97791697304465,36.58139514491347,37.093487780137146,37.51391423492835,38.33503533611633,39.36281875115722
0.csv_Day7_11h30m,32.51644920716875,35.35994373575016,36.35609526928763,37.34362386623025,37.867364091531684,38.459656614068756,39.07664626410067,39.86434222477799,41.13925448488393
0.csv_Day7_12h00m,32.98635310702501,35.56762937856763,36.926774781655084,37.69201441206519,38.358882631376275,39.09559476196019,39.72228020265102,40.311544428851604,41.45331724683494
