id,count
0,82.86
1,228.86
2,90.94
4,31.33
5,74.86
10,111.45
11,100.94
12,328.92
15,44.0
17,147.17
18,301.88
23,244.74
25,88.97
26,44.4
31,187.69
39,126.86
40,27.41
41,186.48
42,388.56
43,166.05
51,186.52
52,76.19
54,17.83
60,124.94
61,143.21
62,102.49
63,32.34
65,104.66
66,114.04
68,119.63
71,73.59
80,30.91
82,71.11
94,132.8
98,251.59
101,36.89
102,136.36
107,174.79
112,249.62
113,81.44
115,54.31
116,111.76
120,134.89
121,71.55
122,336.56
132,201.43
143,85.88
147,66.85
150,15.59
151,85.7
152,209.13
153,88.87
155,203.99
156,98.3
159,138.93
161,117.81
163,47.75
177,150.3
186,15.86
188,17.92
190,69.45
191,85.11
192,266.1
195,316.55
200,150.86
209,317.99
210,14.95
211,217.63
214,145.65
215,23.5
218,107.76
219,34.32
222,143.61
225,15.3
228,315.54
236,168.37
241,35.91
242,149.56
243,200.76
245,16.98
247,250.93
251,131.18
252,63.75
253,81.09
254,85.12
258,317.51
260,52.54
261,158.79
265,86.42
266,268.06
267,316.19
269,148.47
270,71.58
275,100.59
278,37.52
279,87.55
286,74.46
287,28.36
288,221.56
289,150.74
293,17.59
294,144.14
297,33.29
302,123.72
303,85.04
304,77.53
307,101.36
309,17.07
311,171.78
312,134.74
314,187.74
315,176.39
319,151.28
322,108.09
323,70.46
325,102.4
327,238.01
330,39.23
332,154.51
333,16.45
338,103.83
341,115.14
345,188.85
348,93.47
349,48.44
350,109.01
352,51.95
355,16.47
356,231.13
358,58.73
363,128.94
369,174.3
371,16.72
372,135.02
375,294.65
380,116.14
388,43.11
391,137.84
392,280.73
393,385.08
394,222.79
396,27.78
401,33.67
407,79.02
409,100.53
410,108.91
416,84.93
418,112.41
420,143.34
421,216.03
422,121.68
424,289.74
428,378.5
429,223.92
431,160.76
435,16.31
439,98.95
441,15.4
447,82.11
449,120.64
451,119.31
452,18.19
454,208.41
458,242.69
463,132.44
467,14.47
470,243.71
471,157.96
474,294.76
478,15.02
483,127.24
484,113.11
485,86.31
486,133.21
491,98.17
494,103.83
495,246.49
497,205.98
499,153.48
515,122.87
518,218.04
521,189.52
525,146.82
529,254.18
532,126.03
534,82.4
540,89.52
544,293.34
547,171.02
549,43.33
563,36.04
564,155.4
567,125.94
572,114.46
577,106.26
578,225.08
585,379.67
588,126.43
589,111.52
590,103.93
592,17.02
594,235.74
596,15.7
598,386.13
599,140.08
605,35.92
606,119.87
607,266.56
608,212.2
609,67.47
610,285.0
611,200.69
614,124.08
615,190.88
616,253.72
617,128.61
618,245.46
624,119.44
629,129.65
631,93.2
633,97.41
637,24.12
638,99.9
643,64.39
644,140.96
645,35.29
646,209.43
648,198.4
650,36.95
651,208.22
652,270.21
656,112.43
657,19.16
659,103.13
660,209.2
662,98.38
665,382.31
675,327.85
681,143.96
682,221.63
685,18.49
686,161.38
689,22.93
696,159.74
703,150.43
704,96.37
705,130.37
714,237.35
717,101.24
718,13.74
720,64.92
721,256.71
723,234.34
726,205.6
728,162.65
730,209.44
731,27.74
734,347.25
737,73.3
738,16.3
745,135.07
746,26.03
749,231.15
752,22.98
753,186.41
758,232.9
765,15.91
766,227.81
768,88.44
769,189.53
774,125.45
775,98.04
781,54.1
784,339.93
794,17.62
795,277.39
796,84.55
802,169.84
803,233.16
805,34.89
806,284.19
807,97.7
809,14.71
810,157.29
812,204.89
814,120.62
818,243.08
819,139.26
825,57.79
836,99.78
839,118.6
847,261.68
848,190.77
851,110.65
852,137.3
853,34.56
857,144.46
858,45.41
859,218.25
861,21.67
867,96.1
870,221.34
871,198.26
872,201.37
874,354.09
881,179.42
886,144.99
890,56.44
895,150.53
899,87.51
900,281.91
901,252.32
902,169.97
903,43.8
913,261.21
918,187.52
923,117.16
924,39.05
926,27.06
927,18.29
930,218.84
934,33.02
937,133.32
939,93.57
941,84.11
942,385.66
946,283.7
950,99.41
953,67.81
959,94.92
961,29.09
962,92.45
964,79.98
969,177.27
971,143.05
976,45.01
978,244.3
980,240.36
981,119.51
990,387.21
993,18.66
996,19.44
998,335.56
999,168.68
1006,108.45
1008,15.94
1013,27.41
1015,106.57
1016,120.15
1022,311.84
1026,211.82
1028,236.26
1031,88.73
1034,48.26
1037,139.89
1040,68.03
1042,18.45
1046,19.25
1048,100.77
1049,109.04
1050,70.68
1051,202.99
1052,231.99
1055,224.04
1060,132.64
1064,25.31
1066,83.31
1071,103.18
1073,14.68
1089,182.86
1091,96.2
1092,56.02
1093,251.24
1096,325.68
1097,232.43
1098,16.79
1099,36.2
1102,183.7
1107,99.59
1109,44.75
1111,156.63
1112,109.88
1114,302.98
1116,291.68
1117,112.28
1118,93.33
1122,131.73
1124,135.29
1127,123.13
1133,223.23
1134,34.6
1135,148.05
1139,300.5
1143,52.78
1150,119.56
1151,99.23
1153,277.48
1155,26.48
1162,27.69
1163,210.49
1166,21.56
1171,85.92
1172,13.94
1173,250.23
1174,87.16
1177,99.17
1178,166.3
1184,201.6
1185,101.75
1186,125.24
1187,164.75
1188,276.56
1191,135.54
1207,124.03
1213,45.4
1215,124.63
1223,161.36
1227,103.56
1236,54.6
1237,57.44
1238,19.31
1241,29.0
1248,16.39
1250,39.95
1251,159.87
1253,116.54
1255,106.25
1257,165.32
1261,112.97
1262,348.89
1265,113.87
1273,184.51
1277,275.17
1278,110.99
1280,117.84
1284,213.3
1285,324.63
1288,35.86
1295,92.21
1297,359.43
1299,248.51
1304,153.47
1308,42.28
1310,98.51
1311,124.86
1314,92.22
1315,97.93
1318,31.49
1320,325.29
1321,296.28
1322,226.36
1330,123.85
1333,153.04
1334,218.21
1341,114.59
1344,108.57
1351,236.95
1354,105.06
1356,59.52
1363,105.76
1365,195.39
1369,127.56
1373,118.39
1375,99.95
1377,91.24
1379,126.67
1380,289.53
1381,100.7
1384,163.16
1390,195.13
1393,246.24
1395,50.59
1399,330.09
1400,93.9
1401,178.66
1404,131.98
1408,14.88
1409,25.8
1413,217.93
1416,288.43
1418,97.23
1423,109.22
1424,27.7
1425,14.32
1433,211.47
1434,165.52
1436,324.95
1442,246.21
1444,82.15
1445,125.36
1452,233.62
1455,163.84
1462,73.74
1467,79.31
1472,39.28
1475,218.85
1493,111.23
1501,223.73
1503,312.14
1504,225.05
1505,13.66
1511,175.07
1512,54.03
1513,82.8
1514,39.48
1528,234.81
1533,222.24
1534,28.52
1536,154.44
1537,63.76
1539,213.07
1550,222.11
1552,215.16
1554,181.46
1555,385.66
1556,101.53
1559,34.22
1563,204.04
1566,125.59
1567,170.16
1568,29.67
1571,234.2
1572,17.01
1574,51.3
1577,18.07
1583,84.25
1585,30.84
1586,191.94
1587,186.76
1596,138.28
1602,40.07
1604,98.09
1605,30.51
1610,302.73
1611,97.48
1616,39.98
1617,98.62
1618,15.9
1622,36.83
1623,35.08
1628,301.65
1631,16.09
1632,175.98
1633,237.63
1634,326.48
1636,230.85
1637,102.44
1643,129.01
1644,100.54
1646,94.68
1648,201.76
1651,35.82
1656,17.08
1658,145.55
1659,17.74
1665,203.08
1666,144.11
1670,44.66
1674,137.21
1679,208.94
1680,227.09
1683,326.12
1686,26.75
1691,98.42
1693,36.61
1696,40.68
1697,97.99
1703,104.69
1706,26.03
1709,164.1
1710,88.29
1712,172.78
1713,111.72
1718,351.26
1719,193.4
1722,270.56
1723,110.94
1724,287.14
1728,70.41
1730,28.38
1732,23.12
