code,num
C1072,567.57
C1128,568.57
C1456,570.05
C1840,570.05
C1332,571.61
C1563,571.61
C1794,571.61
C1640,571.61
C1377,638.63
C2072,638.63
C1472,639.19
C1006,639.42
C1083,639.42
C1311,638.84
C2676,639.42
C2318,638.84
C1603,638.84
C2523,557.37
C2177,557.37
C2411,557.37
C2033,557.37
C1604,557.41
C2535,557.41
C1040,557.41
C2417,557.93
C1812,557.93
C2253,555.12
C1294,555.12
C1772,555.12
C2646,555.12
C1152,578.14
C2423,578.14
C1844,578.28
C1318,578.28
C1729,578.28
C1602,578.28
C1239,580.25
C1721,580.25
C1902,764.62
C1855,764.62
C2600,749.92
C1071,764.6
C2295,764.6
C1621,764.6
C1852,764.6
C2555,764.6
C1297,748.15
C2323,764.6
C2215,764.6
C2112,585.69
C1830,585.69
C2602,585.69
C2608,585.62
C1215,585.62
C2369,584.88
C1158,558.78
C1887,554.6
C1189,554.6
C1637,558.78
C1225,557.73
C2374,557.39
C2397,558.5
C1105,553.76
C1782,553.76
C1629,541.09
C1708,541.09
C2144,543.39
C1617,541.12
C1149,560.26
C1323,560.26
C1064,560.26
C1019,560.26
C2269,559.69
C1416,539.11
C1250,539.11
C1741,539.11
C1016,542.33
C2675,542.33
C2436,539.11
C2039,542.33
C1253,497.83
C2028,497.83
C1166,497.83
C1135,497.83
C1216,497.83
C1593,497.83
C1826,497.83
C1827,497.83
C1564,497.83
C1495,497.83
C2653,497.83
C1392,497.83
C2128,497.83
C1282,497.83
C1521,497.83
C2076,497.83
C1060,497.83
C2473,497.83
C2557,498.71
C1835,498.71
C2224,559.73
C2222,559.77
C2430,559.77
C2497,559.77
C1494,559.77
C1457,543.67
C1525,543.67
C1712,543.67
C2267,543.67
C1623,543.67
C2131,543.67
C2691,543.67
C1147,543.67
C1692,540.78
C1570,540.78
C1474,540.78
C1633,500.04
C2113,500.04
C2175,500.04
C2303,500.04
C2547,500.04
C2292,500.04
C1496,500.04
C1289,500.04
C1849,500.04
C1003,500.04
C2268,500.04
C2551,500.04
C2688,500.04
C1030,500.04
C1327,500.04
C2451,500.04
C1749,500.04
C1349,500.04
C2043,500.04
C1229,500.04
C2363,500.04
C1414,500.04
C2174,500.04
C2091,500.04
C2335,500.04
C1841,500.04
C2404,500.04
C1683,500.04
C1038,500.04
C2456,500.04
C1266,500.04
C2152,500.04
C1267,500.04
C2189,500.04
