ID,ECLO
ACCIDENT_39609,4.486770294253985
ACCIDENT_39610,4.333964807549193
ACCIDENT_39611,4.763233518746795
ACCIDENT_39612,4.61053220664276
ACCIDENT_39613,4.752381462123617
ACCIDENT_39614,4.572853674682982
ACCIDENT_39615,4.719393724682862
ACCIDENT_39616,4.419955044729471
ACCIDENT_39617,4.556592567082929
ACCIDENT_39618,4.709363328920802
ACCIDENT_39619,4.552812730296687
ACCIDENT_39620,4.25149140407041
ACCIDENT_39621,4.542307408877707
ACCIDENT_39622,4.2466230732351455
ACCIDENT_39623,4.243805624402273
ACCIDENT_39624,4.6806888379096
ACCIDENT_39625,4.691749338002927
ACCIDENT_39626,4.527991181054714
ACCIDENT_39627,4.501533603076296
ACCIDENT_39628,4.681472118654651
ACCIDENT_39629,4.515223950391066
ACCIDENT_39630,3.9012728062608217
ACCIDENT_39631,4.259569405576668
ACCIDENT_39632,4.34112882525077
ACCIDENT_39633,4.182763108194398
ACCIDENT_39634,4.344733561078973
ACCIDENT_39635,4.179516424318971
ACCIDENT_39636,4.210571938964236
ACCIDENT_39637,3.878976551213169
ACCIDENT_39638,4.321104329485649
ACCIDENT_39639,4.330099326579987
ACCIDENT_39640,4.1541160315518155
ACCIDENT_39641,4.308700084197372
ACCIDENT_39642,4.44401523612223
ACCIDENT_39643,4.150909555417032
ACCIDENT_39644,3.860382058560039
ACCIDENT_39645,4.510697825991249
ACCIDENT_39646,4.298826607416238
ACCIDENT_39647,4.144808604923842
ACCIDENT_39648,4.292424355600722
ACCIDENT_39649,3.850846435592726
ACCIDENT_39650,3.849993705113838
ACCIDENT_39651,4.484149019859805
ACCIDENT_39652,4.350195718282536
ACCIDENT_39653,4.036314866874361
ACCIDENT_39654,3.9553654546118446
ACCIDENT_39655,4.2414502004269785
ACCIDENT_39656,3.879021289514473
ACCIDENT_39657,4.327815649236944
ACCIDENT_39658,4.164565315187997
ACCIDENT_39659,4.2284047156454845
ACCIDENT_39660,4.312465918566032
ACCIDENT_39661,4.160783650777181
ACCIDENT_39662,4.159722571096779
ACCIDENT_39663,4.155533603138304
ACCIDENT_39664,4.2222820903898945
ACCIDENT_39665,4.155071727585902
ACCIDENT_39666,3.8641734796727443
ACCIDENT_39667,4.1561602216349245
ACCIDENT_39668,3.8643324830107417
ACCIDENT_39669,3.8558284409981396
ACCIDENT_39670,4.147515709262568
ACCIDENT_39671,4.298348739357818
ACCIDENT_39672,4.20336959106077
ACCIDENT_39673,3.819119581416621
ACCIDENT_39674,4.288879073339055
ACCIDENT_39675,3.9980813447775057
ACCIDENT_39676,4.285509938617125
ACCIDENT_39677,4.422224126934086
ACCIDENT_39678,3.989155378220648
ACCIDENT_39679,4.280239787107927
ACCIDENT_39680,4.284109271766963
ACCIDENT_39681,4.40840267190584
ACCIDENT_39682,4.18412680514862
ACCIDENT_39683,3.9617301179524054
ACCIDENT_39684,4.720300288522859
ACCIDENT_39685,4.283740419613896
ACCIDENT_39686,4.238441687859992
ACCIDENT_39687,4.392023144811536
ACCIDENT_39688,3.942235165054065
ACCIDENT_39689,4.38601357554708
ACCIDENT_39690,4.394984813521947
ACCIDENT_39691,4.0813358137022595
ACCIDENT_39692,4.229525116158504
ACCIDENT_39693,3.933413373097964
ACCIDENT_39694,4.386163278298342
ACCIDENT_39695,4.224665923446114
ACCIDENT_39696,4.219578534394384
ACCIDENT_39697,4.213961647680988
ACCIDENT_39698,4.367396894666557
ACCIDENT_39699,4.3576713612073394
ACCIDENT_39700,4.376025052686376
ACCIDENT_39701,4.372796645056697
ACCIDENT_39702,4.371178653346009
ACCIDENT_39703,4.362970592245871
ACCIDENT_39704,4.204656048677589
ACCIDENT_39705,4.366430945732674
ACCIDENT_39706,3.9814339511024723
ACCIDENT_39707,4.366874801771825
ACCIDENT_39708,4.205039593105776
ACCIDENT_39709,4.194813641514226
ACCIDENT_39710,4.062363448031936
ACCIDENT_39711,4.325547576725416
ACCIDENT_39712,4.038527951594168
ACCIDENT_39713,4.175968764294364
ACCIDENT_39714,4.17276228815958
ACCIDENT_39715,4.325273784040345
ACCIDENT_39716,4.209096528113233
ACCIDENT_39717,4.1629418124911135
ACCIDENT_39718,4.170329030446383
ACCIDENT_39719,4.166954412850728
ACCIDENT_39720,4.16652543454067
ACCIDENT_39721,4.16553928746783
ACCIDENT_39722,4.161257367388543
ACCIDENT_39723,4.157643587706101
ACCIDENT_39724,4.342873459501005
ACCIDENT_39725,4.1512358530168605
ACCIDENT_39726,4.119710989857033
ACCIDENT_39727,3.855611828985264
ACCIDENT_39728,4.141572553061816
ACCIDENT_39729,4.294432611771352
ACCIDENT_39730,4.12421225095869
ACCIDENT_39731,4.118693799239832
ACCIDENT_39732,3.961566250319699
ACCIDENT_39733,4.10974067504685
ACCIDENT_39734,3.8091242984414078
ACCIDENT_39735,4.257747374918851
ACCIDENT_39736,4.173151018400818
ACCIDENT_39737,4.60940613678808
ACCIDENT_39738,4.144314125534964
ACCIDENT_39739,4.14267420232938
ACCIDENT_39740,4.139369034467563
ACCIDENT_39741,3.843803494422357
ACCIDENT_39742,4.277136895107357
ACCIDENT_39743,4.124766126318843
ACCIDENT_39744,4.125012855636425
ACCIDENT_39745,4.272550018456593
ACCIDENT_39746,3.8248912518257288
ACCIDENT_39747,4.277438290698317
ACCIDENT_39748,4.262603436692473
ACCIDENT_39749,3.8088384934271904
ACCIDENT_39750,4.101398339308332
ACCIDENT_39751,3.970790413333523
ACCIDENT_39752,4.100052406926776
ACCIDENT_39753,4.253434909532175
ACCIDENT_39754,4.095582241516296
ACCIDENT_39755,3.8044046237757083
ACCIDENT_39756,4.09629450163543
ACCIDENT_39757,4.247781470327286
ACCIDENT_39758,4.2535864399080126
ACCIDENT_39759,3.8668343817240216
ACCIDENT_39760,4.085562811501685
ACCIDENT_39761,4.24842777349787
