ID,착과량(int)
TEST_0000,247.88438231528588
TEST_0001,750.1590155965135
TEST_0002,147.53183162739964
TEST_0003,440.8176080469269
TEST_0004,691.4508285378206
TEST_0005,262.19266981611804
TEST_0006,87.31283638136932
TEST_0007,35.36400826296469
TEST_0008,356.1876414930235
TEST_0009,229.77989165336737
TEST_0010,560.9795817165783
TEST_0011,751.7836882719702
TEST_0012,447.634646836931
TEST_0013,385.4312901522045
TEST_0014,62.20409040298415
TEST_0015,143.03815235688364
TEST_0016,464.07896988001437
TEST_0017,402.22699466101074
TEST_0018,247.92131302758284
TEST_0019,569.0090062769214
TEST_0020,247.33917396065402
TEST_0021,345.19842792248863
TEST_0022,447.92598083465964
TEST_0023,251.89311461289861
TEST_0024,154.5807828238611
TEST_0025,648.434828420165
TEST_0026,172.09837311665265
TEST_0027,753.3250719987477
TEST_0028,639.5219307616119
TEST_0029,458.2360832302437
TEST_0030,34.34392228080628
TEST_0031,586.3370245839333
TEST_0032,650.1887910486305
TEST_0033,547.7402996314607
TEST_0034,554.464985691386
TEST_0035,348.4881620391222
TEST_0036,254.50598235206286
TEST_0037,645.0746012889213
TEST_0038,22.33486713170526
TEST_0039,449.90445268870155
TEST_0040,382.6061604966121
TEST_0041,153.1473489208156
TEST_0042,745.8307508470796
TEST_0043,77.76621960056997
TEST_0044,586.4245000408823
TEST_0045,346.74620111950935
TEST_0046,754.7075122349418
TEST_0047,472.9412255436057
TEST_0048,349.04084804434626
TEST_0049,452.79350158810735
TEST_0050,544.6070864624735
TEST_0051,650.1187405971662
TEST_0052,408.83746207716183
TEST_0053,453.22041190569723
TEST_0054,370.7913891743886
TEST_0055,158.89450237494407
TEST_0056,752.7907283899727
TEST_0057,542.5033984711698
TEST_0058,566.9625391170903
TEST_0059,546.6136235401325
TEST_0060,442.6144391768431
TEST_0061,53.58202322248077
TEST_0062,552.8478758702349
TEST_0063,349.85082306429865
TEST_0064,523.2009725681298
TEST_0065,348.9234724748047
TEST_0066,452.18161740226344
TEST_0067,450.0773846027588
TEST_0068,150.44292648824467
TEST_0069,670.5519134732828
TEST_0070,758.1130824538133
TEST_0071,749.0475067079159
TEST_0072,647.5567925367824
TEST_0073,250.68844237292154
TEST_0074,151.89866350990468
TEST_0075,246.43764038179222
TEST_0076,153.21849213348057
TEST_0077,645.4149083114723
TEST_0078,746.9023309406198
TEST_0079,346.708691333385
TEST_0080,256.65275879646174
TEST_0081,47.31945522854515
TEST_0082,51.161061587199995
TEST_0083,647.8140622159351
TEST_0084,639.1502864668895
TEST_0085,506.2709019283715
TEST_0086,249.93904061920307
TEST_0087,348.97250024774917
TEST_0088,62.3003775745445
TEST_0089,151.74040352373737
TEST_0090,43.682646574608476
TEST_0091,381.11336344399024
TEST_0092,543.1964374118168
TEST_0093,543.7533202738457
TEST_0094,536.553969445032
TEST_0095,345.7131033467
TEST_0096,247.2701740827269
TEST_0097,248.04625983647557
TEST_0098,233.4718826587192
TEST_0099,641.0751709103913
TEST_0100,697.7519082624393
TEST_0101,255.44195820729118
TEST_0102,441.7387079281978
TEST_0103,555.8731086997507
TEST_0104,243.14080759408594
TEST_0105,755.6398733621841
TEST_0106,152.79690582002985
TEST_0107,51.16007034828241
TEST_0108,449.79751145471994
TEST_0109,245.88283926644863
TEST_0110,648.0928973390353
TEST_0111,338.51771590800877
TEST_0112,574.5158573880834
TEST_0113,448.4966976077077
TEST_0114,706.4721743268996
TEST_0115,153.2411648241232
TEST_0116,659.3285469377342
TEST_0117,649.2778271224884
TEST_0118,347.8564500049889
TEST_0119,467.19222821838446
TEST_0120,152.77581415316018
TEST_0121,445.1849720896142
