index,운송장_건수
0,6.464030942934121
1,6.097390653840015
2,5.828322772333678
3,4.99574638371822
4,4.646176360465462
5,5.01837204202967
6,4.622726372424574
7,5.83373056986538
8,4.6015639064527845
9,5.008931879576455
10,5.24519201109661
11,4.78391235863892
12,5.6077570207549226
13,4.872316959953805
14,5.082609220881799
15,4.687505066632993
16,5.030054247848388
17,4.326850285171751
18,4.239929795034123
19,4.967311107693473
20,4.972290864194218
21,4.682125309434477
22,5.045430442561671
23,4.038058673843167
24,5.302117169472972
25,4.5623114118373795
26,4.932964864665885
27,4.372249052370335
28,4.3584785424915555
29,4.646176360465462
30,10.65268887783725
31,6.35081366830139
32,5.240422775661365
33,4.456666966966969
34,4.5721493611757245
35,7.4256761602754215
36,5.333276996429403
37,4.6015639064527845
38,4.745955927493854
39,13.950680100942972
40,7.4256761602754215
41,5.3623695688275905
42,5.025170593891015
43,4.630847991096291
44,5.982428575249638
45,5.555735999676946
46,4.439200607097652
47,5.030054247848388
48,12.820347862856016
49,6.518548981634804
50,5.555735999676946
51,6.396966532897573
52,8.037914915400023
53,4.5623114118373795
54,5.8259957446659065
55,6.591232727630488
56,5.299412822458144
57,5.372798598601487
58,4.5812876477955875
59,5.522803517187689
60,13.492266471629229
61,3.962171869864856
62,6.049784806134356
63,4.233325510386881
64,4.821477870682084
65,7.953741051637421
66,8.852614382070161
67,6.46504166493311
68,4.294220297014803
69,4.674613796423417
70,4.680769853162117
71,7.206150085416491
72,9.358230276827753
73,8.393206157959948
74,5.2570676943468255
75,6.592677804808744
76,5.606539803922123
77,5.24519201109661
78,3.716031560140485
79,6.262378723125617
80,5.226764697179339
81,3.9292758872183984
82,4.11556727118655
83,4.17290548996314
84,4.403448169384646
85,8.393206157959948
86,6.463634737762128
87,5.434786904866834
88,4.3228782483588475
89,5.057865585240603
90,5.092514355369587
91,6.51715076864907
92,4.46723417626393
93,5.982428575249638
94,6.591232727630488
95,5.156579573098273
96,4.6207348797196
97,5.355157955660931
98,6.262378723125617
99,5.555735999676946
100,4.027091901604978
101,5.51928205217272
102,4.027091901604978
103,3.908881963693986
104,5.890460522666479
105,5.634823311062767
106,8.018941193202625
107,4.347581480881495
108,5.890460522666479
109,5.030054247848388
110,5.346422305029626
111,5.434786904866834
112,5.646891434005448
113,12.5175186397593
114,5.1294413911569094
115,5.690825630451823
116,6.752935000669036
117,4.315962806073601
118,4.247152181751517
119,6.478836323830858
120,4.315962806073601
121,4.082602124520719
122,4.7491116269634865
123,5.77466764686816
124,4.98271502487068
125,4.082602124520719
126,4.179650480130977
127,4.637736826140387
128,4.142896114383256
129,4.0957253381692285
130,4.072916565423097
131,4.03338466535591
132,4.315962806073601
133,4.315962806073601
134,4.600782641459083
135,4.791314564257916
136,4.849446190078944
137,4.082602124520719
138,8.393206157959948
139,4.791314564257916
140,4.806763503698176
141,4.072916565423097
142,4.784802850837647
143,4.179650480130977
144,4.382285105845907
145,4.03338466535591
146,4.03338466535591
147,5.83373056986538
148,4.179650480130977
149,4.716597427980577
150,4.157845757580955
151,4.0957253381692285
152,4.5766039525551285
153,4.363839518711022
154,4.791314564257916
155,4.179650480130977
156,4.791314564257916
157,4.157845757580955
158,5.048480272919713
159,4.5927980339826915
160,4.072916565423097
161,4.179650480130977
162,4.179650480130977
163,4.759016390256897
164,4.157845757580955
165,4.367077818838315
166,4.179650480130977
167,4.367077818838315
168,3.9933650273419836
169,4.135036984834824
170,4.618723124630801
171,5.698623500130846
172,4.791314564257916
173,4.5446883364915
174,4.344269343222734
175,4.140721906782746
176,4.179650480130977
177,4.5766039525551285
178,4.157845757580955
179,4.7491116269634865
180,4.189894826788297
181,4.179650480130977
182,6.355497968107167
183,6.280029647337284
184,4.315962806073601
185,4.135036984834824
186,4.215414806875987
187,4.924746179389172
188,4.362275898789732
189,4.315962806073601
190,4.5766039525551285
191,4.03338466535591
192,4.699494564091604
193,4.03836012362137
194,5.285136997826881
195,5.29933790731573
196,4.5766039525551285
197,4.03338466535591
198,6.530822172114306
